Date,City,Country,AQI,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (ppb),SO2 (ppb),CO (ppm),O3 (ppb),Temperature (°C),Humidity (%),Wind Speed (m/s)
2024-01-05,Sydney,Australia,250,108.8,184.2,35.2,15.7,1.97,34.2,2.1,42,12.9
2024-01-05,São Paulo,Brazil,183,188.4,278.6,61.8,13.5,3.99,68.8,28.8,63,4.7
2024-01-05,Cairo,Egypt,282,105.7,205.7,45.4,49.9,4.68,42.6,-9.9,90,6.5
2024-01-06,New York,USA,92,22.0,52.1,24.4,46.2,1.24,111.1,24.8,34,0.8
2024-01-06,Los Angeles,USA,235,6.8,76.6,15.3,49.5,8.92,88.7,6.7,72,14.3
2024-01-06,London,UK,152,100.4,141.9,68.2,28.0,6.74,171.3,13.3,35,10.7
2024-01-06,Beijing,China,105,142.7,28.2,60.4,49.2,5.93,78.5,1.7,55,10.4
2024-01-06,Delhi,India,92,32.8,81.5,57.5,27.3,6.86,178.0,35.7,86,7.3
2024-01-06,Paris,France,220,234.6,248.9,53.7,32.4,2.93,153.7,-1.2,16,4.3
2024-01-06,Tokyo,Japan,290,30.5,19.0,45.9,41.9,6.71,58.9,-9.7,55,7.1
2024-01-06,Sydney,Australia,67,103.7,263.6,91.7,39.7,1.51,84.5,-6.4,51,11.3
2024-01-06,São Paulo,Brazil,228,114.8,65.4,97.7,10.3,6.55,146.8,-3.7,85,7.6
2024-01-06,Cairo,Egypt,170,78.5,255.2,53.7,43.8,8.04,144.4,13.1,25,11.9
2024-01-07,New York,USA,121,239.5,155.3,21.6,35.6,0.25,195.7,38.4,24,2.1
2024-01-07,Los Angeles,USA,93,14.2,163.8,77.2,11.5,2.62,143.3,35.5,21,8.4
2024-01-07,London,UK,120,98.5,128.0,42.6,16.7,1.36,70.0,10.1,12,1.4
2024-01-07,Beijing,China,100,52.1,103.1,74.6,41.7,2.7,148.7,-9.7,10,8.8
2024-01-07,Delhi,India,278,213.9,254.0,31.5,20.9,9.09,68.2,-0.3,83,3.2
2024-01-07,Paris,France,94,238.5,276.4,77.5,7.5,7.43,92.4,21.2,36,12.5
2024-01-07,Tokyo,Japan,179,172.7,63.3,23.7,3.4,4.68,105.1,37.5,35,8.4
2024-01-07,Sydney,Australia,54,222.1,57.8,59.6,30.2,7.43,87.9,39.1,81,9.6
2024-01-07,São Paulo,Brazil,159,158.5,52.6,37.1,34.3,5.23,69.1,0.5,53,1.9
2024-01-07,Cairo,Egypt,224,155.2,189.5,30.6,39.7,1.22,148.1,36.1,72,2.6
2024-01-08,New York,USA,273,100.6,61.2,88.6,7.0,7.13,18.4,25.3,16,4.0
2024-01-08,Los Angeles,USA,166,174.6,189.6,11.8,46.4,5.15,166.6,3.3,12,1.4
2024-01-08,London,UK,210,237.2,21.8,83.4,11.1,4.4,181.4,8.2,42,4.1
2024-01-08,Beijing,China,283,122.4,24.7,75.4,32.3,2.56,22.3,8.7,59,2.3
2024-01-08,Delhi,India,264,154.6,72.4,27.1,7.9,1.17,84.6,16.5,73,0.7
2024-01-08,Paris,France,173,119.0,269.8,14.7,16.0,7.99,14.8,35.9,26,1.0
2024-01-08,Tokyo,Japan,183,66.8,288.9,23.9,43.3,7.72,75.6,-5.7,29,1.6
2024-01-08,Sydney,Australia,102,240.6,149.9,90.6,33.6,7.09,73.9,26.6,13,13.5
2024-01-08,São Paulo,Brazil,89,184.4,25.6,99.1,14.7,6.49,161.1,14.6,67,3.0
2024-01-08,Cairo,Egypt,298,95.7,245.2,6.4,15.8,0.71,145.8,24.0,38,3.0
2024-01-09,New York,USA,159,168.5,162.7,77.5,10.6,5.67,153.4,30.6,45,3.1
2024-01-09,Los Angeles,USA,220,168.0,121.1,47.2,48.8,6.45,70.7,4.9,35,10.0
2024-01-09,London,UK,117,190.7,29.1,82.2,6.5,1.09,70.2,39.3,11,13.6
2024-01-09,Beijing,China,246,54.2,18.8,50.5,3.3,8.97,77.1,18.1,19,14.9
2024-01-09,Delhi,India,186,151.2,75.5,70.8,34.8,1.52,140.8,6.3,69,13.2
2024-01-09,Paris,France,222,122.9,244.3,36.9,35.0,0.41,48.9,27.4,22,3.3
2024-01-09,Tokyo,Japan,166,78.5,269.3,15.8,33.3,5.63,158.4,33.5,12,6.6
2024-01-09,Sydney,Australia,59,123.5,159.8,13.9,47.1,6.51,37.5,26.3,72,8.5
2024-01-09,São Paulo,Brazil,297,177.8,131.6,45.9,48.1,7.83,119.3,7.2,69,13.7
2024-01-09,Cairo,Egypt,285,144.9,55.6,34.0,23.5,0.16,129.9,2.1,27,11.6
2024-01-10,New York,USA,125,167.1,132.7,87.2,48.5,3.89,118.8,-7.5,21,3.8
2024-01-10,Los Angeles,USA,30,245.2,202.4,56.4,4.3,2.81,161.4,16.7,73,6.3
2024-01-10,London,UK,118,92.2,236.4,85.9,19.2,2.52,79.5,17.8,52,9.3
2024-01-10,Beijing,China,157,205.8,225.7,68.8,25.2,9.63,19.9,10.9,14,13.9
2024-01-10,Delhi,India,50,219.6,267.4,71.6,46.1,8.99,158.6,3.6,39,1.8
2024-01-10,Paris,France,49,189.8,279.0,13.8,15.1,8.55,123.3,18.7,76,3.5
2024-01-10,Tokyo,Japan,143,50.4,144.2,54.8,34.4,2.4,172.0,7.8,39,1.8
2024-01-10,Sydney,Australia,185,54.3,263.2,27.9,27.8,0.63,185.8,-2.5,76,4.4
2024-01-10,São Paulo,Brazil,273,84.0,201.5,69.9,45.0,8.17,92.8,27.0,71,6.7
2024-01-10,Cairo,Egypt,79,125.4,247.1,85.2,18.6,8.21,159.5,30.1,38,7.8
2024-01-11,New York,USA,78,41.5,94.0,75.5,19.3,1.18,197.3,18.1,50,5.3
2024-01-11,Los Angeles,USA,66,152.2,211.0,5.3,20.4,5.1,33.0,-1.6,78,2.3
2024-01-11,London,UK,292,121.0,22.9,30.2,12.5,7.01,189.8,15.6,44,6.8
2024-01-11,Beijing,China,150,100.7,15.8,90.4,41.1,0.53,116.3,-8.2,37,3.0
2024-01-11,Delhi,India,171,75.9,98.5,77.5,3.7,3.78,165.1,10.4,82,12.5
2024-01-11,Paris,France,120,185.4,247.6,39.6,26.9,6.94,186.0,2.5,54,12.0
2024-01-11,Tokyo,Japan,55,133.4,174.3,58.5,11.1,5.26,148.9,27.3,29,7.3
2024-01-11,Sydney,Australia,285,61.5,153.5,79.5,27.4,1.56,130.0,20.2,71,3.2
2024-01-11,São Paulo,Brazil,179,219.7,35.2,98.8,36.0,8.34,176.2,35.5,56,11.7
2024-01-11,Cairo,Egypt,161,222.3,211.7,67.6,29.9,1.04,114.9,16.0,59,13.5
2024-01-12,New York,USA,74,161.8,93.3,29.7,22.8,9.14,17.8,29.9,22,3.7
2024-01-12,Los Angeles,USA,132,164.5,66.0,5.3,25.5,8.21,39.2,39.6,61,4.3
2024-01-12,London,UK,197,184.2,156.4,18.7,41.7,9.29,86.1,20.1,19,11.5
2024-01-12,Beijing,China,80,69.4,252.4,6.5,9.4,3.37,78.9,3.2,82,11.2
2024-01-12,Delhi,India,177,41.7,205.0,85.6,17.6,6.34,13.9,15.6,86,14.9
2024-01-12,Paris,France,264,179.9,80.0,41.3,35.3,7.78,183.4,2.1,76,4.0
2024-01-12,Tokyo,Japan,103,81.1,62.0,73.0,45.3,0.13,175.6,23.5,49,1.2
2024-01-12,Sydney,Australia,131,76.1,141.6,32.3,4.1,4.38,21.7,-8.1,86,11.7
2024-01-12,São Paulo,Brazil,250,230.9,262.9,55.5,39.1,4.82,153.9,7.7,67,13.3
2024-01-12,Cairo,Egypt,296,44.6,164.2,45.4,16.7,9.85,176.2,-8.0,51,6.5
2024-01-13,New York,USA,136,108.9,46.0,39.8,14.4,9.1,187.0,-3.2,45,8.9
2024-01-13,Los Angeles,USA,289,69.5,137.3,33.4,20.1,1.18,21.3,35.9,90,13.9
2024-01-13,London,UK,72,168.5,58.3,48.7,48.1,2.69,82.4,0.3,32,10.4
2024-01-13,Beijing,China,219,76.2,121.4,43.7,41.5,1.26,180.0,8.1,35,4.2
2024-01-13,Delhi,India,214,216.8,251.1,75.0,44.7,4.48,31.8,14.4,38,4.0
2024-01-13,Paris,France,183,221.0,102.1,35.7,45.7,8.17,147.6,20.8,30,8.3
2024-01-13,Tokyo,Japan,114,156.8,14.8,60.2,40.2,6.23,174.4,22.7,40,1.1
2024-01-13,Sydney,Australia,92,112.0,139.1,42.4,43.8,6.08,105.5,17.6,77,6.6
2024-01-13,São Paulo,Brazil,265,211.5,257.6,30.2,43.6,4.83,60.0,22.2,68,3.5
2024-01-13,Cairo,Egypt,192,97.7,199.0,25.1,16.4,0.43,29.3,-7.3,10,4.9
2024-01-14,New York,USA,217,26.4,277.3,33.2,21.3,6.79,94.1,25.5,62,14.7
2024-01-14,Los Angeles,USA,262,91.6,23.6,31.4,9.4,9.87,56.1,39.4,42,12.4
2024-01-14,London,UK,75,68.0,133.1,77.7,48.7,6.89,100.3,9.7,51,14.0
2024-01-14,Beijing,China,197,136.4,176.2,39.5,16.4,4.2,64.9,17.6,20,13.1
2024-01-14,Delhi,India,192,160.5,218.1,33.8,13.1,4.17,75.3,15.6,58,12.0
2024-01-14,Paris,France,160,242.9,76.7,75.8,36.1,4.87,112.2,19.8,73,8.3
2024-01-14,Tokyo,Japan,120,153.5,167.0,27.1,25.1,6.02,120.7,4.7,86,3.8
2024-01-14,Sydney,Australia,124,244.0,268.8,76.7,34.5,1.87,138.2,39.7,33,6.4
2024-01-14,São Paulo,Brazil,265,83.1,228.5,51.2,31.7,8.95,97.5,34.7,58,8.6
2024-01-14,Cairo,Egypt,101,75.6,34.7,38.6,24.4,8.9,20.0,-2.4,29,13.6
2024-01-15,New York,USA,184,209.8,115.1,32.0,30.9,6.82,110.5,36.0,88,1.4
2024-01-15,Los Angeles,USA,157,160.1,166.5,18.9,40.7,2.97,122.1,37.4,86,9.3
2024-01-15,London,UK,84,122.5,62.1,48.2,21.6,8.91,67.3,-6.1,58,12.5
2024-01-15,Beijing,China,127,43.4,132.4,8.8,10.7,2.31,87.8,24.2,12,9.7
2024-01-15,Delhi,India,276,132.9,174.4,37.9,12.5,0.73,167.5,6.6,28,5.4
2024-01-15,Paris,France,212,36.4,225.5,49.3,37.6,4.66,122.7,7.8,51,5.2
2024-01-15,Tokyo,Japan,215,19.3,107.1,98.6,18.5,6.45,10.1,21.5,25,5.9
2024-01-15,Sydney,Australia,199,212.5,176.1,54.0,10.6,0.35,141.2,-4.9,37,0.5
2024-01-15,São Paulo,Brazil,247,147.7,73.0,81.6,48.4,7.12,84.2,34.1,40,13.1
2024-01-15,Cairo,Egypt,245,182.9,234.6,84.2,7.2,9.16,52.4,-0.6,65,14.9
2024-01-16,New York,USA,284,64.8,136.7,26.8,15.7,6.59,165.0,38.0,21,14.9
2024-01-16,Los Angeles,USA,38,160.3,144.6,56.1,19.6,6.82,62.1,14.1,31,5.4
2024-01-16,London,UK,213,144.1,260.4,65.5,35.1,2.5,29.9,-5.3,66,13.7
2024-01-16,Beijing,China,227,202.5,182.8,23.6,40.8,8.59,119.9,30.9,81,13.4
2024-01-16,Delhi,India,269,135.5,218.9,83.2,11.1,9.19,40.1,-7.4,83,2.4
2024-01-16,Paris,France,41,75.4,158.0,48.7,12.9,8.63,43.0,-4.4,33,5.4
2024-01-16,Tokyo,Japan,160,211.6,133.1,45.0,16.4,8.74,185.9,1.0,25,4.9
2024-01-16,Sydney,Australia,160,136.1,195.6,99.2,10.8,2.42,86.8,30.1,84,1.1
2024-01-16,São Paulo,Brazil,100,104.8,218.5,5.6,12.9,8.34,195.5,39.3,76,8.5
2024-01-16,Cairo,Egypt,151,113.5,109.7,40.8,12.5,1.85,143.5,14.5,36,14.8
2024-01-17,New York,USA,146,152.0,61.4,95.6,26.9,5.9,126.3,-8.9,70,0.8
2024-01-17,Los Angeles,USA,145,20.6,138.0,49.6,28.8,8.44,10.6,38.1,10,14.0
2024-01-17,London,UK,101,95.8,66.0,8.0,24.6,4.01,147.9,18.1,42,3.1
2024-01-17,Beijing,China,111,201.0,25.6,65.3,25.3,0.54,196.6,-7.2,90,3.5
2024-01-17,Delhi,India,139,137.4,118.0,91.4,49.8,1.69,69.1,32.6,61,0.7
2024-01-17,Paris,France,289,204.8,267.5,67.9,2.4,7.93,135.1,7.9,11,8.0
2024-01-17,Tokyo,Japan,35,107.3,286.0,9.9,5.2,1.78,142.8,36.2,23,14.1
2024-01-17,Sydney,Australia,62,220.3,294.9,51.7,2.7,1.54,64.6,22.9,34,9.5
2024-01-17,São Paulo,Brazil,143,219.7,142.9,73.0,10.8,1.65,36.3,9.1,45,4.6
2024-01-17,Cairo,Egypt,117,19.9,126.9,24.3,38.2,3.71,40.5,12.3,63,4.5
2024-01-18,New York,USA,221,185.7,288.6,41.6,6.9,6.66,44.8,4.2,87,2.2
2024-01-18,Los Angeles,USA,117,156.2,41.2,38.4,16.7,5.55,71.9,20.9,63,5.2
2024-01-18,London,UK,201,49.1,290.9,76.5,41.2,1.32,193.0,-9.4,43,3.1
2024-01-18,Beijing,China,181,222.1,30.9,71.1,37.3,2.98,191.0,32.0,46,3.2
2024-01-18,Delhi,India,282,132.2,239.4,23.7,45.0,9.89,109.0,4.0,61,2.9
2024-01-18,Paris,France,184,234.1,229.6,28.1,13.0,6.83,168.8,38.0,78,13.5
2024-01-18,Tokyo,Japan,205,72.8,208.9,41.3,38.3,6.47,71.0,10.9,22,12.2
2024-01-18,Sydney,Australia,258,116.8,185.2,58.9,16.1,1.22,88.5,10.3,25,9.7
2024-01-18,São Paulo,Brazil,186,36.9,91.9,60.7,49.0,6.81,60.5,19.9,61,3.4
2024-01-18,Cairo,Egypt,193,54.8,257.0,91.6,38.3,5.95,118.2,0.6,90,1.1
2024-01-19,New York,USA,217,31.2,198.7,16.3,13.3,3.57,86.1,33.6,24,11.8
2024-01-19,Los Angeles,USA,75,62.7,121.0,46.7,46.3,2.38,41.3,-9.2,90,12.2
2024-01-19,London,UK,147,220.7,206.5,19.5,21.3,8.15,48.3,10.4,27,10.6
2024-01-19,Beijing,China,149,243.8,269.9,27.8,5.8,5.26,100.3,-6.9,86,5.8
2024-01-19,Delhi,India,158,218.5,124.2,85.9,36.3,2.31,87.5,38.4,23,9.1
2024-01-19,Paris,France,32,67.1,279.9,79.2,23.5,6.28,21.8,5.9,28,7.9
2024-01-19,Tokyo,Japan,278,67.8,212.9,40.4,41.4,3.6,105.1,-7.0,25,6.3
2024-01-19,Sydney,Australia,157,75.7,290.9,8.5,12.1,3.34,96.5,10.4,66,13.0
2024-01-19,São Paulo,Brazil,151,96.6,160.0,55.7,22.6,4.01,13.7,13.5,25,7.7
2024-01-19,Cairo,Egypt,182,127.9,272.5,63.8,4.3,9.76,34.4,12.3,21,2.9
2024-01-20,New York,USA,50,100.5,95.5,86.2,12.7,7.51,71.7,-3.9,59,14.3
2024-01-20,Los Angeles,USA,65,177.4,31.9,69.2,5.7,9.29,19.4,9.4,55,2.0
2024-01-20,London,UK,291,200.9,250.3,74.1,14.0,8.36,147.3,29.5,66,13.5
2024-01-20,Beijing,China,138,167.7,294.0,57.0,18.3,9.0,161.5,35.9,60,7.3
2024-01-20,Delhi,India,263,132.1,141.2,93.7,8.8,9.83,152.3,7.1,48,12.2
2024-01-20,Paris,France,185,42.4,233.1,98.0,4.2,4.26,48.8,11.8,17,11.0
2024-01-20,Tokyo,Japan,291,171.5,80.7,41.7,12.5,7.6,128.7,-0.9,83,1.9
2024-01-20,Sydney,Australia,129,46.7,147.3,99.9,23.0,4.98,81.2,20.0,78,14.1
2024-01-20,São Paulo,Brazil,117,178.2,21.7,9.0,36.5,7.89,186.3,20.7,72,2.7
2024-01-20,Cairo,Egypt,38,142.8,73.0,89.7,3.1,0.57,74.8,24.0,17,4.6
2024-01-21,New York,USA,202,102.5,146.0,99.1,44.9,7.53,192.8,29.6,38,13.0
2024-01-21,Los Angeles,USA,134,128.7,37.3,66.6,16.5,2.88,133.7,37.0,27,11.1
2024-01-21,London,UK,204,55.9,277.9,34.4,33.1,9.08,132.5,5.0,23,12.3
2024-01-21,Beijing,China,174,38.3,140.2,66.0,47.8,4.26,189.0,34.3,85,6.0
2024-01-21,Delhi,India,157,107.2,283.9,17.0,43.5,2.85,190.6,34.7,20,11.8
2024-01-21,Paris,France,124,67.9,247.9,72.3,26.6,6.55,184.7,-3.0,57,12.4
2024-01-21,Tokyo,Japan,203,113.0,166.8,43.1,48.9,9.8,53.4,33.4,52,4.8
2024-01-21,Sydney,Australia,48,196.3,98.8,21.9,45.1,2.22,122.7,17.3,65,2.3
2024-01-21,São Paulo,Brazil,159,97.8,21.6,59.6,24.5,7.19,178.8,-7.7,15,1.3
2024-01-21,Cairo,Egypt,33,212.0,267.1,71.6,15.1,4.64,107.2,38.2,90,13.6
2024-01-22,New York,USA,100,15.0,89.5,79.4,12.0,8.55,32.9,7.5,35,7.0
2024-01-22,Los Angeles,USA,192,171.4,58.7,39.5,27.5,4.3,58.5,16.0,72,1.8
2024-01-22,London,UK,183,159.6,99.5,15.2,4.9,2.17,89.2,15.4,60,4.6
2024-01-22,Beijing,China,173,174.3,126.6,52.3,17.9,7.17,103.6,-7.7,35,13.0
2024-01-22,Delhi,India,135,87.5,231.1,87.7,7.4,3.91,66.7,19.4,16,7.4
2024-01-22,Paris,France,192,216.6,264.9,51.2,18.6,7.93,197.1,14.3,80,12.2
2024-01-22,Tokyo,Japan,43,46.1,183.8,39.0,48.4,2.91,40.0,5.7,32,3.2
2024-01-22,Sydney,Australia,174,8.4,284.7,77.0,48.5,5.95,19.1,17.1,11,10.0
2024-01-22,São Paulo,Brazil,122,123.8,170.3,81.7,36.4,2.75,183.7,-3.9,75,12.9
2024-01-22,Cairo,Egypt,68,224.5,127.8,16.5,39.4,1.74,186.6,9.7,89,4.8
2024-01-23,New York,USA,76,103.6,108.3,5.1,19.7,2.9,197.6,1.9,26,12.5
2024-01-23,Los Angeles,USA,266,207.2,231.1,30.1,25.9,1.65,170.5,27.3,17,0.8
2024-01-23,London,UK,159,24.1,108.2,33.4,37.3,4.9,64.0,-4.5,65,7.7
2024-01-23,Beijing,China,39,18.9,150.3,20.1,37.0,1.57,58.7,1.6,66,13.1
2024-01-23,Delhi,India,260,128.2,274.7,65.4,3.6,2.45,38.5,39.2,90,12.0
2024-01-23,Paris,France,288,146.1,57.7,85.4,36.7,5.86,152.8,23.2,84,1.2
2024-01-23,Tokyo,Japan,274,237.0,171.6,53.2,25.1,4.35,71.8,-1.7,69,13.8
2024-01-23,Sydney,Australia,30,94.3,51.2,16.2,40.9,6.42,64.8,14.0,55,6.4
2024-01-23,São Paulo,Brazil,176,37.3,176.9,94.9,40.4,5.73,29.2,34.0,79,3.2
2024-01-23,Cairo,Egypt,246,72.6,63.1,25.1,19.1,2.52,114.8,10.0,31,9.7
2024-01-24,New York,USA,35,157.1,240.5,51.3,37.4,6.81,126.9,3.8,79,14.0
2024-01-24,Los Angeles,USA,200,57.4,156.9,28.2,3.8,4.26,147.5,19.2,29,11.3
2024-01-24,London,UK,256,130.5,186.5,11.1,11.8,7.29,107.2,0.7,86,13.3
2024-01-24,Beijing,China,281,18.2,183.3,63.6,35.9,5.76,20.4,-0.8,64,4.6
2024-01-24,Delhi,India,239,123.2,38.0,10.3,45.7,6.26,124.4,34.2,68,8.3
2024-01-24,Paris,France,85,196.7,286.7,46.9,22.5,8.88,59.6,-9.7,35,2.2
2024-01-24,Tokyo,Japan,181,85.2,238.0,39.5,18.7,0.86,50.8,-5.6,33,12.7
2024-01-24,Sydney,Australia,78,240.1,12.0,67.4,4.4,4.81,170.9,28.1,89,11.6
2024-01-24,São Paulo,Brazil,252,122.2,214.8,73.6,47.5,6.23,56.2,-6.3,21,9.9
2024-01-24,Cairo,Egypt,71,9.1,15.2,65.7,40.5,5.06,26.2,33.8,22,5.3
2024-01-25,New York,USA,110,205.7,18.4,36.1,47.6,7.48,41.8,-3.4,82,11.6
2024-01-25,Los Angeles,USA,299,73.3,68.3,94.9,36.8,5.9,134.7,27.7,65,6.6
2024-01-25,London,UK,95,160.3,194.1,5.3,21.3,3.11,165.3,36.2,44,12.0
2024-01-25,Beijing,China,253,244.6,156.7,98.2,49.3,3.46,148.0,29.7,16,13.9
2024-01-25,Delhi,India,107,43.8,221.4,67.8,21.9,7.3,159.2,35.5,18,2.2
2024-01-25,Paris,France,193,119.7,15.5,22.9,11.0,9.66,178.4,35.5,29,8.8
2024-01-25,Tokyo,Japan,129,182.4,129.1,58.8,5.4,4.43,176.7,-0.9,61,7.9
2024-01-25,Sydney,Australia,227,240.6,152.6,77.7,40.9,6.53,77.5,-2.8,83,13.3
2024-01-25,São Paulo,Brazil,138,30.9,256.1,85.5,31.6,2.62,159.6,24.5,64,1.4
2024-01-25,Cairo,Egypt,264,163.0,207.7,11.1,19.6,0.41,138.0,26.7,51,7.0
2024-01-26,New York,USA,277,162.6,15.3,36.1,46.0,2.95,52.6,27.6,24,8.6
2024-01-26,Los Angeles,USA,287,163.0,290.4,26.2,15.9,9.48,112.8,11.9,17,9.5
2024-01-26,London,UK,57,179.9,286.5,81.7,42.8,5.07,126.2,17.6,28,6.8
2024-01-26,Beijing,China,235,90.8,84.2,29.0,25.6,4.56,22.3,2.7,38,2.5
2024-01-26,Delhi,India,267,116.1,270.7,57.8,5.0,3.26,51.4,36.7,69,5.7
2024-01-26,Paris,France,216,25.0,241.9,26.0,13.4,4.55,123.2,-2.5,77,7.5
2024-01-26,Tokyo,Japan,147,110.0,19.0,66.8,38.0,6.02,143.5,38.8,10,1.4
2024-01-26,Sydney,Australia,76,244.9,32.1,5.6,8.0,3.67,89.6,32.6,33,14.5
2024-01-26,São Paulo,Brazil,133,109.0,50.0,89.1,15.0,3.89,148.5,18.6,75,4.1
2024-01-26,Cairo,Egypt,270,11.0,236.3,91.7,25.1,9.27,180.1,-1.6,23,9.9
2024-01-27,New York,USA,91,189.4,65.7,80.9,36.2,1.16,153.0,-5.8,25,12.1
2024-01-27,Los Angeles,USA,191,153.6,296.8,73.2,42.4,6.79,154.7,15.3,45,13.9
2024-01-27,London,UK,291,200.8,172.0,81.2,39.1,9.54,162.8,38.8,52,7.8
2024-01-27,Beijing,China,48,26.0,273.2,91.8,22.3,9.82,81.1,40.0,51,4.2
2024-01-27,Delhi,India,252,76.4,290.9,23.9,36.2,2.31,182.4,21.8,21,10.8
2024-01-27,Paris,France,174,26.2,47.8,60.4,20.0,2.06,116.8,2.9,85,12.4
2024-01-27,Tokyo,Japan,38,95.7,292.4,71.8,18.1,0.76,116.1,-1.2,77,1.9
2024-01-27,Sydney,Australia,155,51.4,240.2,51.5,14.7,9.79,57.2,27.1,43,12.8
2024-01-27,São Paulo,Brazil,122,40.9,131.0,73.0,29.4,6.4,182.2,26.1,24,11.1
